date_time,value
01/01/2008 00:00:00,blues rock
01/01/2010 00:00:00,blues rock
01/01/2009 00:00:00,blues rock
01/01/2009 00:00:00,blues rock
01/01/2015 00:00:00,blues rock
01/01/2013 00:00:00,blues rock
01/01/2012 00:00:00,electric blues
01/01/2014 00:00:00,electric blues
01/01/2014 00:00:00,electric blues
01/01/2014 00:00:00,electric blues
01/01/1995 00:00:00,electric blues
01/01/2009 00:00:00,electric blues
01/01/1999 00:00:00,chamber music
01/01/2009 00:00:00,chamber music
01/01/2012 00:00:00,chamber music
01/01/2013 00:00:00,chamber music
01/01/2014 00:00:00,chamber music
01/01/2011 00:00:00,chamber music
01/01/2014 00:00:00,chamber music
01/01/2007 00:00:00,opera
01/01/2008 00:00:00,opera
01/01/2008 00:00:00,opera
01/01/2009 00:00:00,opera
01/01/2011 00:00:00,opera
01/01/2004 00:00:00,opera
01/01/1999 00:00:00,opera
01/01/2010 00:00:00,opera
01/01/2009 00:00:00,opera
01/01/2008 00:00:00,orchestral
01/01/2012 00:00:00,orchestral
01/01/2011 00:00:00,orchestral
01/01/2013 00:00:00,orchestral
01/01/2008 00:00:00,orchestral
01/01/2013 00:00:00,orchestral
01/01/2013 00:00:00,orchestral
01/01/2015 00:00:00,orchestral
01/01/2005 00:00:00,orchestral
01/01/2012 00:00:00,orchestral
01/01/2011 00:00:00,orchestral
01/01/2012 00:00:00,orchestral
01/01/2014 00:00:00,orchestral
01/01/2006 00:00:00,orchestral
01/01/2015 00:00:00,orchestral
01/01/2008 00:00:00,orchestral
01/01/2008 00:00:00,alternative country
01/01/2005 00:00:00,alternative country
01/01/2014 00:00:00,alternative country
01/01/2012 00:00:00,alternative country
01/01/2009 00:00:00,alternative country
01/01/2012 00:00:00,alternative country
01/01/2008 00:00:00,alternative country
01/01/2010 00:00:00,alternative country
01/01/2012 00:00:00,alternative country
01/01/2013 00:00:00,alternative country
01/01/2009 00:00:00,alternative country
01/01/2000 00:00:00,alternative country
01/01/2013 00:00:00,alternative country
01/01/2009 00:00:00,alternative country
01/01/2008 00:00:00,alternative country
01/01/2013 00:00:00,alternative country
01/01/2014 00:00:00,alternative country
01/01/2010 00:00:00,alternative country
01/01/2010 00:00:00,alternative country
01/01/2015 00:00:00,alternative country
01/01/2014 00:00:00,alternative country
01/01/2009 00:00:00,alternative country
01/01/2011 00:00:00,alternative country
01/01/2009 00:00:00,alternative country
01/01/2014 00:00:00,alternative country
01/01/2013 00:00:00,alternative country
01/01/2014 00:00:00,alternative country
01/01/2013 00:00:00,alternative country
01/01/1995 00:00:00,alternative country
01/01/2014 00:00:00,alternative country
01/01/1999 00:00:00,alternative country
01/01/2005 00:00:00,alternative country
01/01/2003 00:00:00,downtempo
01/01/2000 00:00:00,downtempo
01/01/1999 00:00:00,downtempo
01/01/2011 00:00:00,downtempo
01/01/2014 00:00:00,downtempo
01/01/2014 00:00:00,downtempo
01/01/2013 00:00:00,downtempo
01/01/2004 00:00:00,downtempo
01/01/2013 00:00:00,downtempo
01/01/2012 00:00:00,downtempo
01/01/2011 00:00:00,downtempo
01/01/2005 00:00:00,downtempo
01/01/2010 00:00:00,downtempo
01/01/2008 00:00:00,downtempo
01/01/2009 00:00:00,downtempo
01/01/2012 00:00:00,downtempo
01/01/2011 00:00:00,downtempo
01/01/2012 00:00:00,downtempo
01/01/2010 00:00:00,downtempo
01/01/2015 00:00:00,downtempo
01/01/2008 00:00:00,downtempo
01/01/1999 00:00:00,downtempo
01/01/2003 00:00:00,downtempo
01/01/2012 00:00:00,downtempo
01/01/2003 00:00:00,downtempo
01/01/2003 00:00:00,downtempo
01/01/2006 00:00:00,downtempo
01/01/1980 00:00:00,downtempo
