date_time,text,value
01/01/2006 00:00:00,Sweet Crude Bill,alternative country
01/01/2001 00:00:00,The Damnwells,alternative country
01/01/2012 00:00:00,The Jellyman's Daughter,alternative country
01/01/2010 00:00:00,The Midnight Union Band,alternative country
01/01/2009 00:00:00,The Wilsons,alternative country
01/01/2004 00:00:00,Tin Hat,alternative country
01/01/1997 00:00:00,Tin Hat Trio,alternative country
01/01/2009 00:00:00,Trigger and Some Dudes Named Roy,alternative country
01/01/2015 00:00:00,Twelfth Fret,alternative country
01/01/2013 00:00:00,Veloninos,alternative country
01/01/1995 00:00:00,Willard Grant Conspiracy,alternative country
01/01/2004 00:00:00,"Wood, Wire & Words",alternative country
01/01/2009 00:00:00,Enderby's Room,contemporary folk
01/01/2010 00:00:00,4POST,art-rock / experimental
01/01/2004 00:00:00,A State of Flux,art-rock / experimental
01/01/1994 00:00:00,???And You Will Know Us by the Trail of Dead,art-rock / experimental
01/01/1966 00:00:00,Barclay James Harvest,art-rock / experimental
01/01/2001 00:00:00,Blackfield,art-rock / experimental
01/01/2004 00:00:00,COSM,art-rock / experimental
01/01/1978 00:00:00,?êù???ù???????,art-rock / experimental
01/01/2009 00:00:00,Django Django,art-rock / experimental
01/01/2008 00:00:00,Dutch Uncles,art-rock / experimental
01/01/1978 00:00:00,????????????,art-rock / experimental
01/01/1970 00:00:00,Electric Light Orchestra,art-rock / experimental
01/01/1995 00:00:00,Elysian Fields,art-rock / experimental
01/01/1997 00:00:00,Faun Fables,art-rock / experimental
01/01/2010 00:00:00,Feorm,art-rock / experimental
01/01/2004 00:00:00,Field Music,art-rock / experimental
01/01/1989 00:00:00,Jellyfish,art-rock / experimental
01/01/1995 00:00:00,Karma Lingo,art-rock / experimental
01/01/1986 00:00:00,King Missile,art-rock / experimental
01/01/1998 00:00:00,Little Mono,art-rock / experimental
01/01/1998 00:00:00,Logh,art-rock / experimental
01/01/2008 00:00:00,Lunatic Soul,art-rock / experimental
01/01/1991 00:00:00,Moonlight,art-rock / experimental
01/01/2005 00:00:00,mr. Gnome,art-rock / experimental
01/01/2007 00:00:00,PERIPLO,art-rock / experimental
01/01/1999 00:00:00,Phase,art-rock / experimental
01/01/2005 00:00:00,Ponytail,art-rock / experimental
01/01/2016 00:00:00,Preoccupations,art-rock / experimental
01/01/1967 00:00:00,Quill,art-rock / experimental
01/01/1971 00:00:00,Roxy Music,art-rock / experimental
01/01/2008 00:00:00,TCP,art-rock / experimental
01/01/1975 00:00:00,The Alan Parsons Project,art-rock / experimental
01/01/2001 00:00:00,The Mars Volta,art-rock / experimental
01/01/2001 00:00:00,The Veils,art-rock / experimental
01/01/1997 00:00:00,Thee Oh Sees,art-rock / experimental
01/01/1977 00:00:00,Virgin Prunes,art-rock / experimental
01/01/1999 00:00:00,Votchi,art-rock / experimental
01/01/2011 00:00:00,We Could Build an Empire,art-rock / experimental
01/01/1969 00:00:00,Wishbone Ash,art-rock / experimental
01/01/1968 00:00:00,Yes,art-rock / experimental
01/01/1998 00:00:00,Zenit,art-rock / experimental
01/01/1968 00:00:00,Carpenters,pop / rock
01/01/1991 00:00:00,Fool???s Garden,pop / rock
01/01/2006 00:00:00,Hey Marseilles,pop / rock
01/01/2007 00:00:00,Kalafina,pop / rock
01/01/2007 00:00:00,Paper Bird,pop / rock
01/01/2000 00:00:00,The Decemberists,pop / rock
01/01/1967 00:00:00,The Free Design,pop / rock
01/01/1965 00:00:00,The Left Banke,pop / rock
01/01/1964 00:00:00,The Moody Blues,pop / rock
01/01/1961 00:00:00,The Zombies,pop / rock
01/01/2008 00:00:00,Benin City,pop-rap
01/01/2013 00:00:00,Bowker,pop-rap
01/01/2007 00:00:00,CelloBassMetal,pop-rap
01/01/2004 00:00:00,club manouche,pop-rap
01/01/2009 00:00:00,Dead Sea Apes,pop-rap
01/01/2008 00:00:00,Ekho,pop-rap
01/01/2012 00:00:00,One Bomb,pop-rap
01/01/2008 00:00:00,Orbatak,pop-rap
01/01/2009 00:00:00,Rawfare,pop-rap
01/01/2014 00:00:00,The Frozen North,pop-rap
01/01/2009 00:00:00,Zeds Dead,pop-rap
01/01/1962 00:00:00,Swingin??? Medallions,soul
01/01/2008 00:00:00,Beats & Pieces Big Band,big band / swing
01/01/1936 00:00:00,Glenn Miller Orchestra,big band / swing
01/01/1980 00:00:00,Pepe Lienhard Orchester,big band / swing
01/01/2012 00:00:00,Triskaidekaband,big band / swing
01/01/1990 00:00:00,Apollo 440,electronica
01/01/1986 00:00:00,Fluke,electronica
01/01/1963 00:00:00,Michal Prokop & Framus Five,electronica
01/01/2003 00:00:00,Soumrak Band,electronica
01/01/1990 00:00:00,The Prodigy,electronica
01/01/2007 00:00:00,0.239583333,heavy metal
01/01/1997 00:00:00,1349,heavy metal
01/01/1998 00:00:00,(V.E.G.A.),heavy metal
01/01/1994 00:00:00,...Aaaarrghh...,heavy metal
01/01/1999 00:00:00,206?????ù??????,heavy metal
01/01/2009 00:00:00,A Cloud Forest,heavy metal
01/01/2000 00:00:00,A Forest,heavy metal
01/01/2007 00:00:00,A Forest of Stars,heavy metal
01/01/1994 00:00:00,??????,heavy metal
01/01/2008 00:00:00,?Årst????ir l??fsins,heavy metal
01/01/1996 00:00:00,A??kon K????tr??h,heavy metal
01/01/2005 00:00:00,Aarmaroth Nathrath,heavy metal
01/01/1997 00:00:00,Aaskereia,heavy metal
01/01/1994 00:00:00,Abaddon Incarnate,heavy metal
01/01/1995 00:00:00,Abazagorath,heavy metal
01/01/2015 00:00:00,Abbath,heavy metal
01/01/1995 00:00:00,Abhor,heavy metal
01/01/1992 00:00:00,Abigail,heavy metal
01/01/1993 00:00:00,Abigor,heavy metal
01/01/2005 00:00:00,Abomino Aetas,heavy metal
01/01/1990 00:00:00,Abruptum,heavy metal
01/01/2002 00:00:00,Absentia Lunae,heavy metal
01/01/1992 00:00:00,Absurd,heavy metal
01/01/2012 00:00:00,Abysmal Depths,heavy metal
01/01/1993 00:00:00,Abyssic Hate,heavy metal
01/01/2002 00:00:00,Acceptus Noctifer,heavy metal
01/01/2003 00:00:00,Accursed,heavy metal
01/01/2004 00:00:00,Accursed Christ,heavy metal
01/01/2007 00:00:00,Acedi,heavy metal
01/01/2007 00:00:00,Acherontas,heavy metal
01/01/1998 00:00:00,Ad Hominem,heavy metal
01/01/2008 00:00:00,Ad??nc,heavy metal
01/01/2010 00:00:00,Ad-hoC,heavy metal
01/01/1992 00:00:00,Aeba,heavy metal
01/01/2005 00:00:00,Aeon 9,heavy metal
01/01/2013 00:00:00,Aethernaeum,heavy metal
01/01/1995 00:00:00,Agathodaimon,heavy metal
01/01/1992 00:00:00,Agatus,heavy metal
01/01/2007 00:00:00,Aglare Light,heavy metal
01/01/2004 00:00:00,Agrypnie,heavy metal
01/01/1996 00:00:00,Ajattara,heavy metal
01/01/2006 00:00:00,Akral Necrosis,heavy metal
01/01/2004 00:00:00,Akromusto,heavy metal
01/01/1995 00:00:00,Alghazanth,heavy metal
01/01/2008 00:00:00,Allmacht,heavy metal
01/01/2008 00:00:00,Al-Namrood,heavy metal
01/01/2005 00:00:00,Altoriè? è?eè???liai,heavy metal
01/01/2005 00:00:00,Alvheim,heavy metal
01/01/2003 00:00:00,Ambiguitas,heavy metal
01/01/2004 00:00:00,Amesoeurs,heavy metal
01/01/1988 00:00:00,Ancient Rites,heavy metal
01/01/2004 00:00:00,Andramelech,heavy metal
01/01/1997 00:00:00,Angantyr,heavy metal
01/01/2002 00:00:00,Angmar,heavy metal
01/01/2008 00:00:00,Anhedonia,heavy metal
01/01/2008 00:00:00,Anima Infernalis,heavy metal
01/01/2005 00:00:00,Anno Domini Mortus,heavy metal
01/01/1993 00:00:00,Antaeus,heavy metal
01/01/1999 00:00:00,Antares Predator,heavy metal
01/01/2001 00:00:00,Anthelion,heavy metal
01/01/1997 00:00:00,Anthropolatri,heavy metal
01/01/2003 00:00:00,Anti,heavy metal
01/01/2006 00:00:00,Antimelodix,heavy metal
01/01/2001 00:00:00,Anwech,heavy metal
01/01/2005 00:00:00,??bermensch,heavy metal
01/01/2006 00:00:00,Apocalypse Command,heavy metal
01/01/2006 00:00:00,Apocalyptic Fire,heavy metal
01/01/2004 00:00:00,Apokalyptik Goat Messiah,heavy metal
01/01/2000 00:00:00,Apostasy,heavy metal
01/01/1999 00:00:00,Apparition,heavy metal
01/01/1996 00:00:00,Arathorn,heavy metal
01/01/1993 00:00:00,Arckanum,heavy metal
01/01/2004 00:00:00,Argharus,heavy metal
01/01/1997 00:00:00,Arkhon Infaustus,heavy metal
01/01/2002 00:00:00,Armaggedon,heavy metal
01/01/2006 00:00:00,Ars Goetia,heavy metal
01/01/2011 00:00:00,Arthar,heavy metal
01/01/2004 00:00:00,AryadevA,heavy metal
01/01/2009 00:00:00,Ash Borer,heavy metal
01/01/1997 00:00:00,Ashen Light,heavy metal
01/01/2012 00:00:00,Ashtar,heavy metal
01/01/1991 00:00:00,Aske,heavy metal
01/01/1997 00:00:00,Astarte,heavy metal
01/01/2009 00:00:00,Astrophobos,heavy metal
01/01/2009 00:00:00,Athymhormie,heavy metal
01/01/2006 00:00:00,Atra Hora,heavy metal
01/01/1997 00:00:00,Atritas,heavy metal
01/01/1993 00:00:00,Aura Noir,heavy metal
01/01/2009 00:00:00,Aus der Transzendenz,heavy metal
01/01/2005 00:00:00,Austere,heavy metal
01/01/2000 00:00:00,Avathar,heavy metal
01/01/2006 00:00:00,Avichi,heavy metal
01/01/2006 00:00:00,AX,heavy metal
01/01/2007 00:00:00,Axidance,heavy metal
01/01/1999 00:00:00,Azael,heavy metal
01/01/1995 00:00:00,Azaghal,heavy metal
01/01/1997 00:00:00,Baal Zebuth,heavy metal
01/01/1998 00:00:00,Barbaros,heavy metal
01/01/1996 00:00:00,Barbatos,heavy metal
01/01/2009 00:00:00,Barshasketh,heavy metal
01/01/2003 00:00:00,Basarab,heavy metal
01/01/1983 00:00:00,Bathory,heavy metal
01/01/1998 00:00:00,Beatr??k,heavy metal
01/01/2008 00:00:00,Begotten,heavy metal
01/01/1994 00:00:00,Behexen,heavy metal
01/01/1992 00:00:00,Belk??tre,heavy metal
01/01/2004 00:00:00,Bellum,heavy metal
01/01/2004 00:00:00,Benighted in Sodom,heavy metal
01/01/1991 00:00:00,Besatt,heavy metal
01/01/1995 00:00:00,Bestial Mockery,heavy metal
01/01/1991 00:00:00,Bethlehem,heavy metal
01/01/1999 00:00:00,Beyond Ye Grave,heavy metal
01/01/1996 00:00:00,Bilskirnir,heavy metal
01/01/2005 00:00:00,Bizarrekult,heavy metal
01/01/2003 00:00:00,Black Astrology,heavy metal
01/01/1992 00:00:00,Black Countess,heavy metal
01/01/2003 00:00:00,Black Death Ritual,heavy metal
01/01/2007 00:00:00,Black Hate,heavy metal
01/01/1995 00:00:00,Black Rain,heavy metal
01/01/2004 00:00:00,Black Shadow,heavy metal
01/01/2008 00:00:00,Black Vul Destruktor,heavy metal
01/01/1996 00:00:00,Black Wood,heavy metal
01/01/2003 00:00:00,Blackcrowned,heavy metal
01/01/1998 00:00:00,Blackdeath,heavy metal
01/01/2013 00:00:00,Blackevil,heavy metal
01/01/2004 00:00:00,Blackness,heavy metal
01/01/1998 00:00:00,Blackwinds,heavy metal
01/01/1993 00:00:00,Blessed in Sin,heavy metal
01/01/1998 00:00:00,Blizzard,heavy metal
01/01/2004 00:00:00,Blodhemn,heavy metal
01/01/2007 00:00:00,Blodtru,heavy metal
01/01/2002 00:00:00,Blodulv,heavy metal
01/01/2005 00:00:00,Blood of the Black Owl,heavy metal
01/01/1995 00:00:00,Bloodrain,heavy metal
01/01/1994 00:00:00,Blut aus Nord,heavy metal
01/01/2006 00:00:00,Blutklinge,heavy metal
01/01/1994 00:00:00,Bluttaufe,heavy metal
01/01/2008 00:00:00,Bonjour Tristesse,heavy metal
01/01/2002 00:00:00,Brumalis,heavy metal
01/01/1980 00:00:00,Bulldozer,heavy metal
01/01/2012 00:00:00,Bulldozing Bastard,heavy metal
01/01/2007 00:00:00,Bunker 66,heavy metal
01/01/2007 00:00:00,Burning Cross,heavy metal
01/01/2012 00:00:00,Burstin' Out,heavy metal
01/01/1987 00:00:00,Burzum,heavy metal
01/01/2008 00:00:00,Caladan Brood,heavy metal
01/01/2005 00:00:00,Calth,heavy metal
01/01/2003 00:00:00,Carach Angren,heavy metal
01/01/2005 00:00:00,Carpe Noctem,heavy metal
01/01/1995 00:00:00,Celestia,heavy metal
01/01/1991 00:00:00,Christgory,heavy metal
01/01/1993 00:00:00,Cirith Gorgor,heavy metal
01/01/1998 00:00:00,Clandestine Blaze,heavy metal
01/01/2006 00:00:00,Claustrophobia,heavy metal
01/01/2003 00:00:00,Cobalt,heavy metal
01/01/2011 00:00:00,Cold Abyss,heavy metal
01/01/2008 00:00:00,Cold Empty Universe,heavy metal
01/01/2010 00:00:00,Cold of Tombstone,heavy metal
01/01/1999 00:00:00,Corubo,heavy metal
01/01/1991 00:00:00,Cradle of Filth,heavy metal
01/01/1994 00:00:00,Craft,heavy metal
01/01/1992 00:00:00,Cruachan,heavy metal
01/01/2008 00:00:00,Cruel Force,heavy metal
01/01/2006 00:00:00,Cry of Silence,heavy metal
01/01/2006 00:00:00,Csejthe,heavy metal
01/01/2007 00:00:00,Cursed Nihil,heavy metal
01/01/2004 00:00:00,??ùÅ????????ù?,heavy metal
01/01/2009 00:00:00,???? ????????ù?,heavy metal
01/01/2008 00:00:00,??ù???ùÅù?,heavy metal
01/01/2002 00:00:00,?ù??ù???ùÅù?ù?,heavy metal
01/01/1994 00:00:00,D??dheimsgard,heavy metal
01/01/2009 00:00:00,D??dsfall,heavy metal
01/01/2006 00:00:00,Dagnir en Gwann,heavy metal
01/01/2004 00:00:00,Dark Fount,heavy metal
01/01/1993 00:00:00,Dark Funeral,heavy metal
01/01/1997 00:00:00,Dark Fury,heavy metal
01/01/2006 00:00:00,Dark Interment,heavy metal
01/01/2005 00:00:00,Dark Legions,heavy metal
01/01/1997 00:00:00,Darkened Nocturn Slaughtercult,heavy metal
01/01/1996 00:00:00,Darkmoon Warrior,heavy metal
01/01/2008 00:00:00,DarknessEternal,heavy metal
01/01/1999 00:00:00,Darkspace,heavy metal
01/01/1987 00:00:00,Darkthrone,heavy metal
01/01/2005 00:00:00,Das Zwielicht,heavy metal
01/01/2009 00:00:00,??????????ù?,heavy metal
01/01/2003 00:00:00,Death Mechanism,heavy metal
01/01/1999 00:00:00,Death Requisite,heavy metal
01/01/2005 00:00:00,Deathrow,heavy metal
01/01/1998 00:00:00,Deathspell Omega,heavy metal
01/01/1989 00:00:00,Deiphago,heavy metal
01/01/2005 00:00:00,Dekadent,heavy metal
01/01/2000 00:00:00,Demogorgon,heavy metal
01/01/1989 00:00:00,Demoncy,heavy metal
01/01/1998 00:00:00,Demonibus,heavy metal
01/01/2003 00:00:00,Depressive Winter,heavy metal
01/01/2008 00:00:00,Dernier Martyr,heavy metal
01/01/1988 00:00:00,Desaster,heavy metal
01/01/2006 00:00:00,Devian,heavy metal
01/01/2001 00:00:00,Devil Lee Rot,heavy metal
01/01/1989 00:00:00,Deviser,heavy metal
01/01/1995 00:00:00,Diaboli,heavy metal
01/01/2003 00:00:00,Dictator,heavy metal
01/01/2009 00:00:00,Dispersed Ashes,heavy metal
01/01/1989 00:00:00,Dissection,heavy metal
01/01/2007 00:00:00,Dodenstorm,heavy metal
01/01/2001 00:00:00,Dodsferd,heavy metal
01/01/2005 00:00:00,??????????ù?,heavy metal
01/01/2008 00:00:00,Dopethrone,heavy metal
01/01/1995 00:00:00,Dornenreich,heavy metal
01/01/2004 00:00:00,Dr?¶nken Bastards,heavy metal
01/01/2000 00:00:00,Draugen,heavy metal
01/01/1996 00:00:00,Drautran,heavy metal
01/01/2006 00:00:00,Drightheim,heavy metal
01/01/2009 00:00:00,Drowning,heavy metal
01/01/2003 00:00:00,Drowning the Light,heavy metal
01/01/2002 00:00:00,Drudkh,heavy metal
01/01/2003 00:00:00,??ù???????,heavy metal
01/01/2011 00:00:00,Durkheim,heavy metal
01/01/2002 00:00:00,????????ùÅù?,heavy metal
01/01/2005 00:00:00,E??s,heavy metal
01/01/2009 00:00:00,Edenfall,heavy metal
01/01/1993 00:00:00,Einherjer,heavy metal
01/01/2004 00:00:00,Eisblut,heavy metal
01/01/1993 00:00:00,Eisenwinter,heavy metal
01/01/1995 00:00:00,Eisregen,heavy metal
01/01/2004 00:00:00,Eldjudnir,heavy metal
01/01/2001 00:00:00,Elite,heavy metal
01/01/2012 00:00:00,Elitism,heavy metal
01/01/2003 00:00:00,Elysian Blaze,heavy metal
01/01/2009 00:00:00,Empire Satanicum,heavy metal
01/01/2000 00:00:00,Endstille,heavy metal
01/01/1998 00:00:00,Enshadowed,heavy metal
01/01/1991 00:00:00,Enslaved,heavy metal
01/01/1993 00:00:00,Enthroned,heavy metal
01/01/1997 00:00:00,Epheles,heavy metal
01/01/2010 00:00:00,Eratomania,heavy metal
01/01/2003 00:00:00,Ereb Altor,heavy metal
01/01/2009 00:00:00,Erih,heavy metal
01/01/2009 00:00:00,Erragal,heavy metal
01/01/2008 00:00:00,Eternal Genocide,heavy metal
01/01/2007 00:00:00,Eternum,heavy metal
01/01/1994 00:00:00,Evil,heavy metal
